;;; ;Oxygen;Oxygen;Oxygen;;Compensation;Temperature;('C);;Pressure;Humidity;Temp. Probe;Int. Temp.;Analog In;Raw Data:; dphi (°);;;Signal;Intensity;(mV);;Ambient;Light;(mV);;Advanced Raw Values (only logged while raw data window is open);
Date;Time (HH:MM:SS);Time (s);Comment;Ch1;Ch2;Ch3;Ch4;Ch 1;Ch 2;Ch 3;Ch 4;(mbar);(%);('C);('C); (mV);Ch 1;Ch 2;Ch 3;Ch 4;Ch1;Ch2;Ch3;Ch4;Ch1;Ch2;Ch3;Ch4; (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi);
25/09/2024;14:10:41;16290.00;;80.793;97.377;---;---;15.527;15.527;15.527;---;994.97;69.927;15.527;---;---;27.215;24.768;9.319;---;67.136;19.087;0.077;---;4.818;5.601;3.597;---;;
25/09/2024;14:11:11;16320.00;;80.548;97.946;---;---;15.524;15.524;15.524;---;995.01;70.087;15.524;---;---;27.250;24.699;5.287;---;67.136;19.061;0.086;---;4.817;5.606;3.589;---;;
25/09/2024;14:11:41;16350.00;;81.012;96.778;---;---;15.518;15.518;15.518;---;995.04;70.148;15.518;---;---;27.182;24.840;5.793;---;67.111;19.072;0.065;---;4.778;5.613;3.612;---;;
25/09/2024;14:12:11;16380.00;;80.972;96.771;---;---;15.515;15.515;15.515;---;994.98;70.309;15.515;---;---;27.189;24.842;14.616;---;67.117;19.091;0.070;---;4.787;5.556;3.614;---;;
25/09/2024;14:12:41;16410.00;;81.008;97.338;---;---;15.519;15.519;15.519;---;995.00;70.210;15.519;---;---;27.183;24.773;8.729;---;67.160;19.054;0.059;---;4.845;5.595;3.632;---;;
25/09/2024;14:13:11;16440.00;;80.856;96.714;---;---;15.516;15.516;15.516;---;995.05;69.963;15.516;---;---;27.205;24.847;15.512;---;67.126;19.065;0.082;---;4.782;5.599;3.627;---;;
25/09/2024;14:13:41;16470.00;;81.124;97.086;---;---;15.510;15.510;15.510;---;995.02;69.851;15.510;---;---;27.167;24.804;6.677;---;67.165;19.061;0.065;---;4.782;5.625;3.618;---;;
25/09/2024;14:14:11;16500.00;;80.632;97.141;---;---;15.504;15.504;15.504;---;995.03;69.767;15.504;---;---;27.240;24.797;11.942;---;67.085;19.082;0.077;---;4.797;5.599;3.615;---;;
25/09/2024;14:14:41;16530.00;;80.916;97.461;---;---;15.498;15.498;15.498;---;994.97;69.683;15.498;---;---;27.200;24.761;10.083;---;67.147;19.086;0.089;---;4.833;5.646;3.611;---;;
25/09/2024;14:15:11;16560.00;;80.809;97.072;---;---;15.504;15.504;15.504;---;995.00;69.523;15.504;---;---;27.214;24.807;13.264;---;67.126;19.094;0.068;---;4.850;5.661;3.652;---;;
25/09/2024;14:15:41;16590.00;;80.683;97.289;---;---;15.507;15.507;15.507;---;995.04;69.533;15.507;---;---;27.232;24.780;21.411;---;67.143;19.066;0.074;---;4.793;5.623;3.603;---;;
25/09/2024;14:16:11;16620.00;;80.759;96.952;---;---;15.512;15.512;15.512;---;995.03;69.396;15.512;---;---;27.220;24.820;13.297;---;67.180;19.118;0.077;---;4.842;5.617;3.618;---;;
25/09/2024;14:16:41;16650.00;;80.625;96.840;---;---;15.513;15.513;15.513;---;995.06;69.386;15.513;---;---;27.240;24.833;11.685;---;67.181;19.144;0.078;---;4.850;5.606;3.640;---;;
25/09/2024;14:17:11;16680.00;;80.899;96.435;---;---;15.504;15.504;15.504;---;995.04;69.371;15.504;---;---;27.200;24.883;12.902;---;67.184;19.127;0.083;---;4.807;5.610;3.637;---;;
25/09/2024;14:17:41;16710.00;;80.720;96.809;---;---;15.507;15.507;15.507;---;995.07;69.500;15.507;---;---;27.226;24.837;11.163;---;67.178;19.115;0.073;---;4.773;5.647;3.622;---;;
25/09/2024;14:18:11;16740.00;;80.744;96.500;---;---;15.507;15.507;15.507;---;995.07;69.642;15.507;---;---;27.222;24.875;19.358;---;67.184;19.105;0.052;---;4.810;5.613;3.631;---;;
25/09/2024;14:18:41;16770.00;;80.607;96.419;---;---;15.510;15.510;15.510;---;995.09;69.767;15.510;---;---;27.243;24.883;8.592;---;67.219;19.116;0.078;---;4.804;5.627;3.633;---;;
25/09/2024;14:19:11;16800.00;;80.541;97.137;---;---;15.502;15.502;15.502;---;995.03;69.851;15.502;---;---;27.254;24.799;10.150;---;67.229;19.127;0.071;---;4.827;5.635;3.597;---;;
25/09/2024;14:19:41;16830.00;;79.117;96.999;---;---;15.496;15.496;15.496;---;995.00;69.963;15.496;---;---;27.467;24.816;6.034;---;67.857;19.110;0.085;---;4.761;5.654;3.615;---;;
25/09/2024;14:20:11;16860.00;;78.541;97.243;---;---;15.498;15.498;15.498;---;995.01;70.087;15.498;---;---;27.554;24.787;13.253;---;68.141;19.114;0.083;---;4.820;5.650;3.611;---;;
25/09/2024;14:20:41;16890.00;;79.398;96.978;---;---;15.498;15.498;15.498;---;994.98;70.210;15.498;---;---;27.425;24.818;2.292;---;67.837;19.083;0.082;---;4.824;5.633;3.608;---;;
25/09/2024;14:21:11;16920.00;;78.651;97.795;---;---;15.503;15.503;15.503;---;994.99;70.332;15.503;---;---;27.537;24.720;12.065;---;68.024;19.116;0.064;---;4.813;5.590;3.613;---;;
25/09/2024;14:21:41;16950.00;;78.435;96.577;---;---;15.509;15.509;15.509;---;994.96;70.342;15.509;---;---;27.569;24.866;12.043;---;68.112;19.118;0.076;---;4.814;5.595;3.642;---;;
25/09/2024;14:22:11;16980.00;;78.310;97.071;---;---;15.509;15.509;15.509;---;994.99;70.065;15.509;---;---;27.588;24.806;9.032;---;68.174;19.111;0.072;---;4.839;5.621;3.662;---;;
25/09/2024;14:22:41;17010.00;;78.571;97.015;---;---;15.515;15.515;15.515;---;994.97;69.866;15.515;---;---;27.548;24.813;8.231;---;68.052;19.092;0.083;---;4.844;5.584;3.630;---;;
25/09/2024;14:23:11;17040.00;;78.521;96.908;---;---;15.518;15.518;15.518;---;994.99;69.757;15.518;---;---;27.555;24.825;8.168;---;68.073;19.097;0.073;---;4.786;5.620;3.591;---;;
25/09/2024;14:23:41;17070.00;;78.859;97.280;---;---;15.513;15.513;15.513;---;994.99;69.523;15.513;---;---;27.504;24.780;14.399;---;68.072;19.093;0.071;---;4.768;5.641;3.609;---;;
25/09/2024;14:24:11;17100.00;;79.150;97.021;---;---;15.512;15.512;15.512;---;994.98;69.406;15.512;---;---;27.460;24.812;11.126;---;67.955;19.108;0.093;---;4.790;5.573;3.616;---;;
25/09/2024;14:24:41;17130.00;;78.975;97.035;---;---;15.511;15.511;15.511;---;995.02;69.363;15.511;---;---;27.487;24.810;4.997;---;67.928;19.102;0.068;---;4.798;5.608;3.607;---;;
25/09/2024;14:25:11;17160.00;;78.953;96.723;---;---;15.518;15.518;15.518;---;995.03;69.248;15.518;---;---;27.489;24.847;15.046;---;67.931;19.087;0.068;---;4.810;5.616;3.596;---;;
25/09/2024;14:25:41;17190.00;;79.082;96.696;---;---;15.516;15.516;15.516;---;995.07;69.269;15.516;---;---;27.469;24.850;7.598;---;67.934;19.102;0.081;---;4.788;5.583;3.593;---;;
25/09/2024;14:26:11;17220.00;;79.018;97.092;---;---;15.508;15.508;15.508;---;995.07;69.098;15.508;---;---;27.480;24.803;11.358;---;67.977;19.100;0.068;---;4.767;5.598;3.613;---;;
